Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12900000,0.3848399,0.02454658,-2.597653557856878,-2.597653557856878,405.98765432098764,0.49176857,0.06909623,0.00026145086,0.27430058,0.004358799,1.0
13000000,0.34801942,-0.05675822,-2.8849461789033852,-2.8849461789033852,408.67755102040815,0.47373044,0.07102675,0.00026115138,0.27410093,0.004353818,1.0
13100000,0.43974537,0.02582126,-3.5537386679753467,-3.5537386679753467,444.90393013100436,0.51432,0.0694874,0.0002608518,0.27390122,0.0043488345,1.0
13200000,0.42292762,0.70215553,-0.5135691676654067,-0.5135691676654067,387.1294117647059,0.518255,0.0683165,0.00026054803,0.2736987,0.0043437816,1.0
13300000,0.32714063,0.26005274,-1.6427242785182774,-1.6427242785182774,401.64957264957263,0.41752762,0.071278766,0.00026024858,0.27349904,0.0043388004,1.0
13400000,0.46787655,0.04102531,-2.968954007689354,-2.968954007689354,427.54,0.47448957,0.06826686,0.00025994985,0.2732999,0.0043338323,1.0
13500000,0.4129154,-0.068600915,-4.863897773364316,-4.863897773364316,444.89237668161434,0.5664373,0.06958227,0.00025965107,0.2731007,0.0043288623,1.0
13600000,0.41942155,-0.17095956,-3.8845104420077208,-3.8845104420077208,442.5656108597285,0.5039944,0.07004525,0.00025935107,0.2729007,0.0043238723,1.0
13700000,0.3704426,-0.3078082,-5.4707475407765465,-5.4707475407765465,468.96634615384613,0.48564437,0.069884524,0.00025904807,0.27269873,0.0043188324,1.0
13800000,0.29718453,-0.4585403,-7.372954929361538,-7.372954929361538,514.0408163265306,0.65327686,0.070742674,0.0002587543,0.27250287,0.0043139462,1.0
13900000,0.3083006,-0.024737218,-3.6057354786660936,-3.6057354786660936,446.8,0.7750904,0.07170077,0.0002584475,0.27229834,0.004308842,1.0
14000000,0.22724421,-0.40744564,-5.30606118440628,-5.30606118440628,460.01395348837207,0.5127631,0.07039323,0.00025814914,0.27209944,0.0043038805,1.0
14100000,0.29987755,-0.36976045,-4.255899575231302,-4.255899575231302,447.725321888412,0.5092216,0.07304194,0.00025784498,0.27189666,0.004298821,1.0
