Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
2700000,0.08603904,154.41213063763607,2.1005397,3.131052171487019,3.131052171487019,1.701257,0.09626908,0.00014098333,0.19398887,0.002355022,1.0
2800000,0.09617927,158.60806451612902,1.9324265,3.0499998288769876,3.0499998288769876,1.6499732,0.09597598,0.00013499317,0.1899954,0.0022553853,1.0
2900000,0.09418518,154.9953632148377,2.2486567,3.4678617559641114,3.4678617559641114,1.6393427,0.09816269,0.0001289897,0.18599308,0.0021555275,1.0
3000000,0.09132457,158.70494417862838,2.0395608,2.953567083979967,2.953567083979967,1.7252014,0.09621651,0.00012298195,0.18198793,0.0020555984,1.0
3100000,0.0911365,144.7259475218659,2.3750947,3.5474828251314405,3.5474828251314405,1.9240746,0.097677514,0.00011698791,0.17799188,0.0019558978,1.0
3200000,0.09371344,148.77744360902255,2.3086338,3.4847116014983195,3.4847116014983195,1.7905793,0.096441865,0.00011097832,0.1739855,0.001855938,1.0
3300000,0.084217645,154.33074534161491,2.249963,3.3665629572333384,3.3665629572333384,1.6775199,0.09804969,0.000104981074,0.16998735,0.0017561837,1.0
3400000,0.08198044,148.69746646795826,2.292633,3.6038150372297326,3.6038150372297326,1.7823738,0.09628636,9.899075e-05,0.1659938,0.0016565449,1.0
3500000,0.080287926,148.94586466165413,2.609867,4.0032880546034955,4.0032880546034955,1.6963515,0.09801197,9.302609e-05,0.16201735,0.0015573329,1.0
3600000,0.07729905,140.9137199434229,3.0055625,4.26282869441411,4.26282869441411,1.8562843,0.096333995,8.699841e-05,0.15799887,0.0014570724,1.0
3700000,0.080758415,140.27517730496453,2.8190808,4.020605046648189,4.020605046648189,1.908436,0.097128056,8.099758e-05,0.15399835,0.0013572583,1.0
3800000,0.08896542,143.4747474747475,3.1387963,4.538595338890929,4.538595338890929,1.8518928,0.09713994,7.4997806e-05,0.14999849,0.0012574621,1.0
3900000,0.08744888,139.96463932107497,3.305783,4.563771646381573,4.563771646381573,1.8562601,0.09754852,6.900458e-05,0.14600301,0.0011577747,1.0
4000000,0.08272684,130.825,3.6977503,5.489408487883615,5.489408487883615,1.8051395,0.09706194,6.299405e-05,0.141996,0.0010577994,1.0
4100000,0.08167518,142.23857142857142,3.0547638,4.290914104559592,4.290914104559592,1.8304781,0.0976793,5.700704e-05,0.13800465,0.0009582155,1.0
4200000,0.08515714,140.8721590909091,3.1749787,4.310473325228403,4.310473325228403,1.9218727,0.095256664,5.099144e-05,0.13399424,0.0008581561,1.0
4300000,0.10404106,137.4461325966851,3.509952,5.081482340373325,5.081482340373325,1.7969774,0.09620123,4.5001903e-05,0.13000122,0.00075853005,1.0
4400000,0.100694366,141.40462427745663,3.429841,4.994710181933958,4.994710181933958,1.7591377,0.097478166,3.8975166e-05,0.1259834,0.00065828545,1.0
4500000,0.09135251,132.1195219123506,3.7266982,5.291093260355313,5.291093260355313,1.8062565,0.09565729,3.299827e-05,0.12199879,0.0005588697,1.0
4600000,0.08092753,140.89645390070922,3.4460652,4.6330309977514865,4.6330309977514865,1.8379569,0.09829973,2.701706e-05,0.1180113,0.00045938216,1.0
4700000,0.07073598,143.52898550724638,3.2133887,4.693004672785384,4.693004672785384,1.5942526,0.09764613,2.1006721e-05,0.114004426,0.00035941022,1.0
4800000,0.06834989,142.77044476327117,3.0381265,4.347623015147295,4.347623015147295,1.7279902,0.095299974,1.5002269e-05,0.11000145,0.00025953611,1.0
4900000,0.07159702,135.91483516483515,3.4143205,4.832600579204314,4.832600579204314,1.8093423,0.09740734,9.006301e-06,0.10600414,0.00015980318,1.0
5000000,0.07314325,144.72303206997086,3.2393878,4.8446324386667925,4.8446324386667925,1.6188048,0.09662814,3.0156077e-06,0.10201034,6.015795e-05,1.0
